




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	Saccharomyces cerevisiae (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Saccharomyces cerevisiae - REFLIST (6060)	upload_1 (151)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
oxoacid metabolic process (GO:0043436)	352	21	8.77	+	2.39	1.50E-04	1.29E-02
organic acid metabolic process (GO:0006082)	354	21	8.82	+	2.38	2.63E-04	2.14E-02
establishment of protein localization to organelle (GO:0072594)	360	21	8.97	+	2.34	2.91E-04	2.33E-02
negative regulation of macromolecule biosynthetic process (GO:0010558)	446	23	11.11	+	2.07	7.14E-04	4.80E-02
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	468	24	11.66	+	2.06	5.56E-04	3.96E-02
catabolic process (GO:0009056)	904	45	22.53	+	2.00	2.25E-06	5.14E-04
intracellular transport (GO:0046907)	652	32	16.25	+	1.97	1.46E-04	1.31E-02
transport (GO:0006810)	1320	55	32.89	+	1.67	3.41E-05	3.46E-03
establishment of localization (GO:0051234)	1400	57	34.88	+	1.63	4.98E-05	4.94E-03
localization (GO:0051179)	1589	64	39.59	+	1.62	1.32E-05	1.78E-03
organelle organization (GO:0006996)	1180	47	29.40	+	1.60	5.35E-04	3.88E-02
biological regulation (GO:0065007)	1843	66	45.92	+	1.44	6.09E-04	4.21E-02
cellular process (GO:0009987)	5021	148	125.11	+	1.18	4.21E-09	4.80E-06
